63167bf 修复玩家下线后重新上线时，其他玩家无法正确获得其位置的bug（将其错误地设置在了原点）；只有当目标精灵是自己或自己的宠物，或者发起者是自己或自己的宠物同时目标精灵不是玩家并且主人也不是玩家，才会触发交互事件
ea62d08 玩家在死亡后经验值归零，扣除一定金钱，并回到出生点，但其他精灵死亡后会消失
51b1c0d 完成精灵死亡事件
02e258c 更新TODO
ca07951 修复精灵卡在墙里面的bug
82d3cfc 玩家上线时得到的地图上精灵位置应当是最新的
5c7f3c3 显示玩家的名称
6cd9c30 一个精灵在一个时刻最多只有一个HP变化提示信息
825e883 显示精灵名称
cb21b48 实现攻击效果
5b781e9 精灵寻路到达另一个精灵
52435f4 新增视野、攻击范围、精灵宽度占图像宽度的比例、精灵高度占图像高度的比例
42174b9 饱腹值大于一定值时定期恢复体力
58da1da 计数器改为long类型
0993a9e 严格地每20s减少一次饱腹值
75097fc 定期减少游戏中的精灵的饱腹值
849f3df 避免使用物品效果时空指针异常
953c64a 修改jdk版本为17
484e7cd 更新TODO
39f38fe 自动生成文档
dbe2a17 自动生成文档
ad649e7 玩家效果变化后实时通知前端
9850075 使用物品后触发其效果
b82e4a0 装备装备时向精灵施加特殊效果
cc22ab3 修复补间动画的精灵碰撞到带有速度的精灵，补间动画的精灵会再也无法正常运动的bug
b12f002 修复玩家与移动的野生狗（自己养的狗不会）发生碰撞之后，无法正常通过点击地图位置来移动的bug；更新TODO，添加已知的bug
ba56e8d 阻止点击穿透
afc12be 在精灵详情界面和商品详情界面添加图片
98e317c 在物品详情界面显示物品图片，并双栏显示
140e8f0 摘苹果时移动则停止摘苹果
8e226ed 更新文档
9344b5d 前端显示精灵效果，后端做相应调整
da02245 添加各种效果、以及蜘蛛的素材
34d9392 Update TODO.md
e9f2096 新增凤凰之羽、圣杯、火焰护腿
4c93dd0 添加铁质头盔
62fa500 装备飞行靴可以提升速度
0d9c1fd 废弃根据方向键输入更新角色速度（一是因为在其他客户端显示效果不流畅，二是因为速度在客户端进行控制是不好的行为）
a0b11ae 修复商店商品无法展示的bug
9b12e24 添加骨头
3d8ce02 Merge branch 'master' of https://github.com/shui-dun/SandboxTown
74ed163 精灵面板中显示属性增量信息
6acc6f5 将ItemService的部分内容迁移到SpriteService，以避免循环依赖（如果之后SpriteService变得过于复杂，再考虑是否弄个类似SpriteItemService的模块协调两者的交互）；完成查看精灵详细信息（包含装备信息、属性增量、效果等信息）的后端部分
4b69b12 放入背包
0c0c381 装备物品
14ce460 放入物品栏
dceb3b9 添加SPRITE_ATTRIBUTE_CHANGE事件
0e3e7c9 使用WSMessageSender管理如何向前端发送指定类型的事件
4319be3 可以手持物品
